user_id,total_messages_used,total_minutes,total_mb_used
1000,55.0,80.0,1901.47
1006,10835.0,850.0,36088.66000000001
1008,25619.0,39394.0,91561.69999999995
1011,177729.0,208724.0,223340.2999999998
1013,178801.0,211069.0,243454.21999999988
1026,179681.0,213349.0,256678.67999999985
1028,748193.0,268245.0,646838.03
1030,752513.0,299349.0,690354.1700000003
1031,756629.0,419301.0,783225.85
1032,760829.0,432701.0,811985.6000000004
1033,786749.0,516221.0,893901.010000001
1036,892307.0,615995.0,972000.9700000008
1037,894243.0,618943.0,986371.410000001
1038,948558.0,655366.0,1091637.2600000007
1039,1006917.0,838780.0,1219460.6499999994
1043,1244720.0,1233354.0,1615297.2099999979
1047,1245084.0,1235850.0,1632444.009999997
1057,1315084.0,1579620.0,1880267.6699999971
1059,1522421.0,1903657.0,2001087.8699999973
1061,1797515.0,2273611.0,2172776.639999994
1062,1834635.0,2440651.0,2321013.259999995
1069,1889395.0,2485587.0,2388094.939999997
1077,2254411.0,3045121.0,2628536.46
1086,2259813.0,3131129.0,2750620.909999996
1088,2397285.0,3212153.0,2867195.8299999926
1091,2399091.0,3214547.0,2877230.839999993
1096,2399343.0,3214925.0,2884390.5799999926
1102,2400243.0,3216125.0,2890881.9299999923
1104,2400868.0,3216225.0,2900242.919999993
1107,2406068.0,3220625.0,2923875.149999993
1112,2419178.0,3256160.0,2959637.399999993
1113,2500339.0,3394163.0,3055401.2699999944
1124,2506252.0,3398780.0,3071481.489999994
1126,2708816.0,3701380.0,3255210.8299999903
1128,2817302.0,3719461.0,3379970.869999991
1132,3358262.0,4061341.0,3593758.819999988
1133,3473377.0,4111941.0,3676951.989999986
1144,3808134.0,4463055.0,3958918.469999987
1154,3840534.0,4516445.0,4056092.399999984
1155,3989279.0,4657229.0,4282530.329999977
1159,4054449.0,4738334.0,4370856.9099999815
1161,4054545.0,4743518.0,4385512.869999981
1162,4067793.0,4765046.0,4433396.65999998
1163,4076733.0,4872326.0,4528911.369999982
1164,4165158.0,5056250.0,4653321.649999987
