user_id,total_messages_used,total_minutes,total_mb_used
1001,50715.0,63945.0,80437.93999999999
1002,61627.0,77957.0,120731.27000000002
1003,64227.0,85705.0,147775.40999999997
1004,145647.0,255905.0,304128.2199999999
1005,146307.0,259445.0,321268.38999999996
1007,215922.0,363185.0,465121.12999999966
1014,217382.0,990286.0,824481.0799999997
1015,220034.0,990910.0,841976.1999999997
1016,230864.0,1016902.0,901335.4499999993
1017,273576.0,1091648.0,996650.7699999989
1018,275592.0,1114580.0,1038030.199999998
1019,290184.0,1120916.0,1069170.8799999973
1020,290592.0,1133666.0,1100920.2999999977
1023,291109.0,1398328.0,1259264.4699999972
1027,312949.0,1486648.0,1362167.279999997
1029,322799.0,1563478.0,1429367.6399999973
1034,322807.0,1563482.0,1430365.0599999973
1035,325843.0,1566886.0,1445865.0999999978
1044,351603.0,1690031.0,1635728.6699999995
1045,374223.0,1727615.0,1686790.9199999992
1046,480609.0,1959161.0,1834346.5899999992
1051,482409.0,2070387.0,1962049.8400000008
1052,502761.0,2083443.0,1993333.9900000002
1053,525336.0,2172539.0,2090466.2400000012
1054,654978.0,2336963.0,2262114.890000003
1055,860482.0,2426195.0,2375700.5700000036
1056,921304.0,2512523.0,2478950.680000002
1058,924989.0,2523511.0,2495969.8300000024
1060,994949.0,2616791.0,2603350.1600000057
1064,1041765.0,2789271.0,2716339.2500000047
1065,1062565.0,2845015.0,2780564.3500000043
1066,1259797.0,3195454.0,2975044.5500000096
1067,1278112.0,3228199.0,3036023.9600000097
1070,1278894.0,3321037.0,3164818.960000001
1072,1310008.0,3641999.0,3441974.5099999974
1075,1332944.0,3794241.0,3616476.0099999993
1076,1495004.0,3855123.0,3723312.159999998
1078,1499152.0,3856953.0,3743990.439999999
1079,1607656.0,3999981.0,3829663.719999999
1081,1771117.0,4104378.0,4092502.9699999997
1082,1840129.0,4321638.0,4237403.33
1083,1842961.0,4334854.0,4279123.109999999
1084,1882441.0,4382794.0,4335402.78
1087,1885821.0,4386642.0,4354615.6800000025
1090,1965417.0,4553484.0,4512533.820000009
1092,1966234.0,4556666.0,4534953.430000006
1093,1966523.0,4557295.0,4539791.220000008
1094,1976522.0,4582444.0,4593925.540000008
1095,2012432.0,4646704.0,4721518.230000014
1098,2124044.0,4835214.0,4932388.600000013
1099,2255255.0,5253003.0,5103831.410000013
1100,2337935.0,5324763.0,5201228.4800000135
1101,2549831.0,5480742.0,5314146.510000013
1103,2590431.0,5548892.0,5405173.470000012
1105,2604768.0,5566946.0,5437762.880000012
1110,2811936.0,6254095.0,5880153.010000006
1111,2845102.0,6268515.0,5935318.490000008
1114,2937438.0,6371398.0,6037665.830000011
1115,2948534.0,6383005.0,6062073.210000008
1116,2949370.0,6385161.0,6077141.950000008
1118,2949863.0,6540056.0,6234034.899999993
1119,2952059.0,6541172.0,6237347.889999993
1120,3112187.0,6723572.0,6432161.869999993
1122,3199311.0,6944372.0,6652398.059999986
1123,3275751.0,7156052.0,6792201.949999992
1125,3279477.0,7160537.0,6814899.049999987
1127,3315121.0,7253868.0,6966818.079999988
1130,3382993.0,7306388.0,7032032.789999988
1134,3447496.0,7341380.0,7229106.139999991
1136,3467816.0,7363140.0,7284628.439999986
1138,3550448.0,7742906.0,7508691.799999993
1139,3554466.0,7746140.0,7532974.249999993
1140,3573121.0,7876725.0,7622274.929999992
1141,3611281.0,8104413.0,7720457.809999991
1142,3655626.0,8162233.0,7797010.23999999
1145,3832586.0,8308778.0,7918872.649999993
1146,3869238.0,8334034.0,7968282.409999994
1147,3969926.0,8768530.0,8225657.059999998
1148,3982226.0,8783330.0,8257211.959999992
1151,4033186.0,8882690.0,8361753.019999989
1160,4105681.0,9793442.0,8879543.420000002
1165,4114113.0,9799394.0,8917611.409999998
1167,4221785.0,9996470.0,9097191.659999995
1168,4222135.0,9997495.0,9104514.509999996
1169,4226425.0,10001590.0,9121945.790000001
1170,4232025.0,10063540.0,9205854.110000009
1172,4348400.0,10476580.0,9561032.660000019
1173,4376624.0,10508038.0,9606687.230000017
1174,4532840.0,10682366.0,9749215.400000008
1175,4548263.0,10724024.0,9805663.74
1176,4581923.0,10757684.0,9872454.040000003
1177,4587247.0,10771115.0,9910037.610000003
1178,4609687.0,10798175.0,9962326.240000006
1179,4631467.0,10889651.0,10039388.14000001
1180,4633367.0,10891751.0,10051217.410000006
1181,4728397.0,11168671.0,10191791.489999995
1182,4734599.0,11261258.0,10328300.919999996
1183,4765883.0,11289770.0,10374289.799999995
1187,4813763.0,11668022.0,10543918.16999999
1189,4839223.0,11697282.0,10607731.32
1192,4845355.0,11714802.0,10631725.029999997
1193,4962779.0,11775810.0,10736352.890000002
1195,5099927.0,11817842.0,10932332.819999991
1197,5101797.0,11834672.0,10960825.669999983
1198,5108637.0,11875712.0,11023339.019999968
1200,5110857.0,11880872.0,11042910.389999969
1201,5130550.0,12069841.0,11248554.419999959
1203,5306950.0,12316801.0,11383549.599999944
1205,5316808.0,12324613.0,11413704.609999945
1206,5390743.0,12449233.0,11566449.41999995
1207,5390977.0,12449935.0,11574727.929999948
1209,5411727.0,12525779.0,11677365.759999938
1212,5445831.0,12607545.0,11793255.959999926
1215,5523011.0,12698345.0,11912460.929999923
1218,5524323.0,12773115.0,12036561.519999905
1219,5529111.0,12794091.0,12071831.239999898
1220,5658555.0,13111135.0,12223302.809999907
1221,5658863.0,13111695.0,12231206.809999911
1222,5698175.0,13266759.0,12342421.989999909
1223,5764241.0,13502280.0,12476637.439999895
1227,5766050.0,13509150.0,12509593.579999894
1228,5766596.0,13520434.0,12540220.67999989
1232,5774994.0,13832928.0,12685751.779999891
1235,5777434.0,13852463.0,12756711.159999888
1240,5814933.0,14397002.0,13088320.049999882
1241,5824701.0,14422162.0,13128165.599999875
1242,5845629.0,14433934.0,13163576.329999879
1243,5854461.0,14457670.0,13226851.909999892
1244,5860751.0,14460730.0,13266586.189999891
