user_id,plan,session_date,mb_used,total_messages_used,total_minutes
1001,surf,2018-08-15,210.82,207.0,261.0
1001,surf,2018-08-16,82.78,207.0,261.0
1001,surf,2018-08-16,534.19,207.0,261.0
1001,surf,2018-08-17,173.39,207.0,261.0
1001,surf,2018-08-17,374.29,207.0,261.0
1001,surf,2018-08-18,479.78,207.0,261.0
1001,surf,2018-08-18,249.51,207.0,261.0
1001,surf,2018-08-19,131.69,207.0,261.0
1001,surf,2018-08-20,173.63,207.0,261.0
1001,surf,2018-08-21,0.0,207.0,261.0
1001,surf,2018-08-22,215.67,207.0,261.0
1001,surf,2018-08-23,649.55,207.0,261.0
1001,surf,2018-08-24,284.68,207.0,261.0
1001,surf,2018-08-24,0.0,207.0,261.0
1001,surf,2018-08-25,468.13,207.0,261.0
1001,surf,2018-08-25,533.2,207.0,261.0
1001,surf,2018-08-27,106.97,207.0,261.0
1001,surf,2018-08-28,200.58,207.0,261.0
1001,surf,2018-08-29,499.76,207.0,261.0
1001,surf,2018-08-29,0.0,207.0,261.0
1001,surf,2018-08-29,47.01,207.0,261.0
1001,surf,2018-08-30,0.0,207.0,261.0
1001,surf,2018-08-31,801.08,207.0,261.0
1001,surf,2018-08-31,146.52,207.0,261.0
1001,surf,2018-08-31,555.92,207.0,261.0
1001,surf,2018-09-01,298.57,207.0,261.0
1001,surf,2018-09-01,388.14,207.0,261.0
1001,surf,2018-09-02,0.0,207.0,261.0
1001,surf,2018-09-04,42.34,207.0,261.0
1001,surf,2018-09-04,0.0,207.0,261.0
1001,surf,2018-09-05,727.29,207.0,261.0
1001,surf,2018-09-05,622.03,207.0,261.0
1001,surf,2018-09-06,310.16,207.0,261.0
1001,surf,2018-09-06,240.13,207.0,261.0
1001,surf,2018-09-06,0.0,207.0,261.0
1001,surf,2018-09-07,213.61,207.0,261.0
1001,surf,2018-09-07,492.98,207.0,261.0
1001,surf,2018-09-07,0.0,207.0,261.0
1001,surf,2018-09-08,284.97,207.0,261.0
1001,surf,2018-09-08,90.71,207.0,261.0
1001,surf,2018-09-08,45.92,207.0,261.0
1001,surf,2018-09-08,0.0,207.0,261.0
1001,surf,2018-09-09,165.69,207.0,261.0
1001,surf,2018-09-09,943.96,207.0,261.0
1001,surf,2018-09-09,0.0,207.0,261.0
1001,surf,2018-09-11,171.14,207.0,261.0
1001,surf,2018-09-11,10.28,207.0,261.0
1001,surf,2018-09-12,80.0,207.0,261.0
1001,surf,2018-09-13,0.0,207.0,261.0
1001,surf,2018-09-13,0.0,207.0,261.0
1001,surf,2018-09-16,0.0,207.0,261.0
