user_id,plan,session_date,mb_used,total_messages_used,total_minutes
1000,ultimate,2018-12-26,270.99,11.0,16.0
1000,ultimate,2018-12-27,880.22,11.0,16.0
1000,ultimate,2018-12-28,660.4,11.0,16.0
1000,ultimate,2018-12-29,89.86,11.0,16.0
1000,ultimate,2018-12-31,0.0,11.0,16.0
1006,ultimate,2018-11-28,653.1,154.0,11.0
1006,ultimate,2018-11-28,101.15,154.0,11.0
1006,ultimate,2018-11-29,273.07,154.0,11.0
1006,ultimate,2018-11-29,374.89,154.0,11.0
1006,ultimate,2018-11-30,261.91,154.0,11.0
1006,ultimate,2018-11-30,81.25,154.0,11.0
1006,ultimate,2018-11-30,323.0,154.0,11.0
1006,ultimate,2018-12-01,842.27,154.0,11.0
1006,ultimate,2018-12-01,814.92,154.0,11.0
1006,ultimate,2018-12-01,660.78,154.0,11.0
1006,ultimate,2018-12-02,913.78,154.0,11.0
1006,ultimate,2018-12-02,360.82,154.0,11.0
1006,ultimate,2018-12-02,689.9,154.0,11.0
1006,ultimate,2018-12-03,857.72,154.0,11.0
1006,ultimate,2018-12-04,124.78,154.0,11.0
1006,ultimate,2018-12-04,397.66,154.0,11.0
1006,ultimate,2018-12-04,534.71,154.0,11.0
1006,ultimate,2018-12-04,336.03,154.0,11.0
1006,ultimate,2018-12-05,764.6,154.0,11.0
1006,ultimate,2018-12-06,1301.96,154.0,11.0
1006,ultimate,2018-12-06,334.01,154.0,11.0
1006,ultimate,2018-12-07,276.68,154.0,11.0
1006,ultimate,2018-12-07,685.49,154.0,11.0
1006,ultimate,2018-12-07,558.71,154.0,11.0
1006,ultimate,2018-12-07,668.91,154.0,11.0
1006,ultimate,2018-12-07,366.7,154.0,11.0
1006,ultimate,2018-12-08,192.91,154.0,11.0
1006,ultimate,2018-12-08,929.62,154.0,11.0
1006,ultimate,2018-12-10,530.56,154.0,11.0
1006,ultimate,2018-12-10,416.83,154.0,11.0
1006,ultimate,2018-12-11,0.0,154.0,11.0
1006,ultimate,2018-12-11,0.0,154.0,11.0
1006,ultimate,2018-12-12,495.43,154.0,11.0
1006,ultimate,2018-12-12,1257.78,154.0,11.0
1006,ultimate,2018-12-13,605.51,154.0,11.0
1006,ultimate,2018-12-14,509.02,154.0,11.0
1006,ultimate,2018-12-15,407.56,154.0,11.0
1006,ultimate,2018-12-16,577.45,154.0,11.0
1006,ultimate,2018-12-16,888.0,154.0,11.0
1006,ultimate,2018-12-18,256.26,154.0,11.0
1006,ultimate,2018-12-18,389.67,154.0,11.0
1006,ultimate,2018-12-18,793.96,154.0,11.0
1006,ultimate,2018-12-18,526.45,154.0,11.0
1006,ultimate,2018-12-20,300.14,154.0,11.0
1006,ultimate,2018-12-20,330.2,154.0,11.0
1006,ultimate,2018-12-21,607.36,154.0,11.0
1006,ultimate,2018-12-22,349.08,154.0,11.0
1006,ultimate,2018-12-22,378.47,154.0,11.0
1006,ultimate,2018-12-22,431.81,154.0,11.0
1006,ultimate,2018-12-22,521.02,154.0,11.0
1006,ultimate,2018-12-23,594.11,154.0,11.0
1006,ultimate,2018-12-23,504.99,154.0,11.0
1006,ultimate,2018-12-24,342.75,154.0,11.0
1006,ultimate,2018-12-24,557.89,154.0,11.0
1006,ultimate,2018-12-24,753.91,154.0,11.0
1006,ultimate,2018-12-24,707.77,154.0,11.0
1006,ultimate,2018-12-24,737.28,154.0,11.0
1006,ultimate,2018-12-25,309.67,154.0,11.0
1006,ultimate,2018-12-25,95.65,154.0,11.0
1006,ultimate,2018-12-25,792.56,154.0,11.0
1006,ultimate,2018-12-26,480.25,154.0,11.0
1006,ultimate,2018-12-26,44.65,154.0,11.0
1006,ultimate,2018-12-27,749.19,154.0,11.0
1006,ultimate,2018-12-27,326.41,154.0,11.0
1006,ultimate,2018-12-29,20.29,154.0,11.0
1006,ultimate,2018-12-29,333.67,154.0,11.0
1006,ultimate,2018-12-30,671.61,154.0,11.0
1006,ultimate,2018-12-30,520.96,154.0,11.0
1006,ultimate,2018-12-31,389.69,154.0,11.0
1006,ultimate,2018-12-31,0.0,154.0,11.0
1008,ultimate,2018-10-06,65.77,84.0,219.0
1008,ultimate,2018-10-06,165.31,84.0,219.0
1008,ultimate,2018-10-06,349.31,84.0,219.0
1008,ultimate,2018-10-07,147.26,84.0,219.0
1008,ultimate,2018-10-07,579.04,84.0,219.0
1008,ultimate,2018-10-08,154.87,84.0,219.0
1008,ultimate,2018-10-08,34.16,84.0,219.0
1008,ultimate,2018-10-08,0.0,84.0,219.0
1008,ultimate,2018-10-08,557.54,84.0,219.0
1008,ultimate,2018-10-09,457.03,84.0,219.0
1008,ultimate,2018-10-09,528.92,84.0,219.0
1008,ultimate,2018-10-10,411.35,84.0,219.0
