user_id,session_date,mb_used,total_mb_used
1000,2018-12-29,89.86,1901.47
1000,2018-12-31,0.0,1901.47
1000,2018-12-28,660.4,1901.47
1000,2018-12-26,270.99,1901.47
1000,2018-12-27,880.22,1901.47
1001,2018-08-24,284.68,80437.94
1001,2018-12-09,656.04,80437.94
1001,2018-11-04,16.97,80437.94
1001,2018-11-27,135.18,80437.94
1001,2018-12-13,761.92,80437.94
1001,2018-10-28,501.53,80437.94
1001,2018-09-05,727.29,80437.94
1001,2018-09-05,622.03,80437.94
1001,2018-10-14,310.43,80437.94
1001,2018-09-17,0.0,80437.94
1001,2018-12-13,149.17,80437.94
1001,2018-10-17,0.0,80437.94
1001,2018-10-09,1067.99,80437.94
1001,2018-12-27,157.2,80437.94
1001,2018-09-27,236.4,80437.94
1001,2018-09-18,299.66,80437.94
1001,2018-12-26,694.5,80437.94
1001,2018-11-25,288.27,80437.94
1001,2018-12-27,632.84,80437.94
1001,2018-12-03,474.35,80437.94
1001,2018-11-16,196.94,80437.94
1001,2018-09-27,44.91,80437.94
1001,2018-10-23,483.49,80437.94
1001,2018-12-07,317.01,80437.94
1001,2018-09-08,284.97,80437.94
1001,2018-10-18,534.65,80437.94
1001,2018-11-27,618.84,80437.94
1001,2018-11-17,409.19,80437.94
1001,2018-11-10,418.75,80437.94
1001,2018-09-02,0.0,80437.94
1001,2018-11-28,121.3,80437.94
1001,2018-12-03,144.94,80437.94
1001,2018-12-10,14.03,80437.94
1001,2018-09-17,969.54,80437.94
1001,2018-10-17,976.69,80437.94
1001,2018-09-06,310.16,80437.94
1001,2018-10-04,501.87,80437.94
1001,2018-11-11,438.76,80437.94
1001,2018-10-31,0.0,80437.94
1001,2018-12-24,0.0,80437.94
1001,2018-11-28,255.14,80437.94
1001,2018-10-13,0.0,80437.94
1001,2018-12-16,624.34,80437.94
1001,2018-09-17,71.78,80437.94
1001,2018-09-30,179.68,80437.94
1001,2018-11-10,598.66,80437.94
1001,2018-08-29,499.76,80437.94
1001,2018-09-22,172.1,80437.94
1001,2018-09-06,240.13,80437.94
1001,2018-12-03,0.0,80437.94
1001,2018-08-27,106.97,80437.94
1001,2018-11-20,550.25,80437.94
1001,2018-08-18,479.78,80437.94
1001,2018-12-10,0.0,80437.94
1001,2018-08-16,82.78,80437.94
1001,2018-10-21,596.08,80437.94
1001,2018-10-10,709.95,80437.94
1001,2018-10-05,500.02,80437.94
1001,2018-11-11,180.0,80437.94
1001,2018-09-28,0.0,80437.94
1001,2018-11-01,56.27,80437.94
1001,2018-12-02,468.54,80437.94
1001,2018-10-03,172.24,80437.94
1001,2018-12-28,149.43,80437.94
1001,2018-09-24,73.9,80437.94
1001,2018-08-17,173.39,80437.94
1001,2018-10-26,744.51,80437.94
1001,2018-10-26,112.57,80437.94
1001,2018-11-24,402.83,80437.94
1001,2018-10-23,155.43,80437.94
1001,2018-10-19,248.02,80437.94
1001,2018-09-24,341.62,80437.94
1001,2018-10-02,0.0,80437.94
1001,2018-11-28,782.11,80437.94
1001,2018-09-06,0.0,80437.94
1001,2018-09-01,298.57,80437.94
1001,2018-10-19,1123.93,80437.94
1001,2018-10-04,567.54,80437.94
1001,2018-09-21,281.98,80437.94
1001,2018-09-08,90.71,80437.94
1001,2018-08-31,801.08,80437.94
1001,2018-12-04,428.13,80437.94
1001,2018-09-13,0.0,80437.94
1001,2018-12-21,167.42,80437.94
1001,2018-11-21,92.86,80437.94
1001,2018-11-05,0.0,80437.94
1001,2018-10-31,372.12,80437.94
1001,2018-10-01,643.67,80437.94
1001,2018-12-15,395.04,80437.94
1001,2018-10-22,692.92,80437.94
1001,2018-11-18,523.9,80437.94
1001,2018-09-07,213.61,80437.94
1001,2018-10-05,62.08,80437.94
1001,2018-08-25,468.13,80437.94
1001,2018-08-21,0.0,80437.94
1001,2018-09-08,45.92,80437.94
1001,2018-11-21,416.1,80437.94
1001,2018-12-14,0.0,80437.94
1001,2018-09-16,0.0,80437.94
1001,2018-09-27,831.08,80437.94
1001,2018-08-29,0.0,80437.94
1001,2018-09-28,306.56,80437.94
1001,2018-09-09,165.69,80437.94
1001,2018-12-18,1119.44,80437.94
1001,2018-11-19,377.89,80437.94
1001,2018-12-29,261.88,80437.94
