user_id,plan,mb_used,total_messages_used,total_minutes
1001,surf,210.82,207.0,261.0
1001,surf,293.6,414.0,522.0
1001,surf,827.7900000000001,621.0,783.0
1001,surf,1001.1800000000001,828.0,1044.0
1001,surf,1375.47,1035.0,1305.0
1001,surf,1855.25,1242.0,1566.0
1001,surf,2104.76,1449.0,1827.0
1001,surf,2236.45,1656.0,2088.0
1001,surf,2410.08,1863.0,2349.0
1001,surf,2410.08,2070.0,2610.0
1001,surf,2625.75,2277.0,2871.0
1001,surf,3275.3,2484.0,3132.0
1001,surf,3559.98,2691.0,3393.0
1001,surf,3559.98,2898.0,3654.0
1001,surf,4028.11,3105.0,3915.0
1001,surf,4561.3099999999995,3312.0,4176.0
1001,surf,4668.28,3519.0,4437.0
1001,surf,4868.86,3726.0,4698.0
1001,surf,5368.62,3933.0,4959.0
1001,surf,5368.62,4140.0,5220.0
1001,surf,5415.63,4347.0,5481.0
1001,surf,5415.63,4554.0,5742.0
1001,surf,6216.71,4761.0,6003.0
1001,surf,6363.2300000000005,4968.0,6264.0
1001,surf,6919.15,5175.0,6525.0
1001,surf,7217.72,5382.0,6786.0
1001,surf,7605.86,5589.0,7047.0
1001,surf,7605.86,5796.0,7308.0
1001,surf,7648.2,6003.0,7569.0
1001,surf,7648.2,6210.0,7830.0
1001,surf,8375.49,6417.0,8091.0
1001,surf,8997.52,6624.0,8352.0
1001,surf,9307.68,6831.0,8613.0
1001,surf,9547.81,7038.0,8874.0
1001,surf,9547.81,7245.0,9135.0
1001,surf,9761.42,7452.0,9396.0
1001,surf,10254.4,7659.0,9657.0
1001,surf,10254.4,7866.0,9918.0
1001,surf,10539.37,8073.0,10179.0
1001,surf,10630.08,8280.0,10440.0
1001,surf,10676.0,8487.0,10701.0
1001,surf,10676.0,8694.0,10962.0
1001,surf,10841.69,8901.0,11223.0
1001,surf,11785.65,9108.0,11484.0
1001,surf,11785.65,9315.0,11745.0
1001,surf,11956.79,9522.0,12006.0
1001,surf,11967.07,9729.0,12267.0
1001,surf,12047.07,9936.0,12528.0
1001,surf,12047.07,10143.0,12789.0
1001,surf,12047.07,10350.0,13050.0
1001,surf,12047.07,10557.0,13311.0
1001,surf,12047.07,10764.0,13572.0
1001,surf,13016.61,10971.0,13833.0
1001,surf,13088.39,11178.0,14094.0
1001,surf,13088.39,11385.0,14355.0
1001,surf,13388.05,11592.0,14616.0
1001,surf,13725.16,11799.0,14877.0
1001,surf,14899.89,12006.0,15138.0
1001,surf,15160.039999999999,12213.0,15399.0
1001,surf,15442.02,12420.0,15660.0
1001,surf,15614.119999999999,12627.0,15921.0
1001,surf,16307.7,12834.0,16182.0
1001,surf,16861.33,13041.0,16443.0
1001,surf,16935.23,13248.0,16704.0
1001,surf,17276.85,13455.0,16965.0
1001,surf,17771.57,13662.0,17226.0
1001,surf,17866.52,13869.0,17487.0
1001,surf,18102.92,14076.0,17748.0
1001,surf,18147.83,14283.0,18009.0
1001,surf,18978.91,14490.0,18270.0
1001,surf,19358.4,14697.0,18531.0
1001,surf,19358.4,14904.0,18792.0
1001,surf,19664.96,15111.0,19053.0
1001,surf,19848.7,15318.0,19314.0
1001,surf,19878.28,15525.0,19575.0
1001,surf,20057.96,15732.0,19836.0
1001,surf,20057.96,15939.0,20097.0
1001,surf,20233.97,16146.0,20358.0
1001,surf,20877.64,16353.0,20619.0
1001,surf,20877.64,16560.0,20880.0
1001,surf,21242.25,16767.0,21141.0
1001,surf,21744.39,16974.0,21402.0
1001,surf,21744.39,17181.0,21663.0
1001,surf,21916.63,17388.0,21924.0
1001,surf,22396.45,17595.0,22185.0
1001,surf,22898.32,17802.0,22446.0
1001,surf,23465.86,18009.0,22707.0
1001,surf,24166.87,18216.0,22968.0
