user_id,plan,session_date,mb_used,total_messages_used,total_minutes
1000,ultimate,2018-12-26,270.99,1.0,14.360000000000001
1000,ultimate,2018-12-27,880.22,3.0,48.26
1000,ultimate,2018-12-28,660.4,1.0,29.0
1000,ultimate,2018-12-29,89.86,1.0,1.7
1000,ultimate,2018-12-31,0.0,3.0,19.29
1001,surf,2018-08-15,210.82,4.0,0.0
1001,surf,2018-08-16,82.78,2.0,23.46
1001,surf,2018-08-16,534.19,2.0,23.46
1001,surf,2018-08-17,173.39,2.0,8.11
1001,surf,2018-08-17,374.29,2.0,8.11
1001,surf,2018-08-18,479.78,0.0,1.74
1001,surf,2018-08-18,249.51,0.0,1.74
1001,surf,2018-08-19,131.69,1.0,10.73
1001,surf,2018-08-20,173.63,2.0,7.32
1001,surf,2018-08-21,0.0,1.0,0.0
1001,surf,2018-08-22,215.67,2.0,0.0
1001,surf,2018-08-23,649.55,2.0,8.5
1001,surf,2018-08-24,284.68,1.0,8.63
1001,surf,2018-08-24,0.0,1.0,8.63
1001,surf,2018-08-25,468.13,0.0,35.39
1001,surf,2018-08-25,533.2,0.0,35.39
1001,surf,2018-08-27,106.97,0.0,10.57
1001,surf,2018-08-28,200.58,0.0,19.91
1001,surf,2018-08-29,499.76,4.0,0.54
1001,surf,2018-08-29,0.0,4.0,0.54
1001,surf,2018-08-29,47.01,4.0,0.54
1001,surf,2018-08-30,0.0,2.0,0.0
1001,surf,2018-08-31,801.08,4.0,22.380000000000003
1001,surf,2018-08-31,146.52,4.0,22.380000000000003
1001,surf,2018-08-31,555.92,4.0,22.380000000000003
1001,surf,2018-09-01,298.57,4.0,7.53
1001,surf,2018-09-01,388.14,4.0,7.53
1001,surf,2018-09-02,0.0,3.0,10.27
1001,surf,2018-09-04,42.34,2.0,0.0
1001,surf,2018-09-04,0.0,2.0,0.0
1001,surf,2018-09-05,727.29,0.0,9.09
1001,surf,2018-09-05,622.03,0.0,9.09
1001,surf,2018-09-06,310.16,3.0,10.06
1001,surf,2018-09-06,240.13,3.0,10.06
1001,surf,2018-09-06,0.0,3.0,10.06
1001,surf,2018-09-07,213.61,0.0,9.42
1001,surf,2018-09-07,492.98,0.0,9.42
1001,surf,2018-09-07,0.0,0.0,9.42
1001,surf,2018-09-08,284.97,0.0,7.06
1001,surf,2018-09-08,90.71,0.0,7.06
1001,surf,2018-09-08,45.92,0.0,7.06
1001,surf,2018-09-08,0.0,0.0,7.06
1001,surf,2018-09-09,165.69,1.0,10.41
1001,surf,2018-09-09,943.96,1.0,10.41
1001,surf,2018-09-09,0.0,1.0,10.41
1001,surf,2018-09-11,171.14,1.0,3.24
1001,surf,2018-09-11,10.28,1.0,3.24
1001,surf,2018-09-12,80.0,0.0,9.48
1001,surf,2018-09-13,0.0,5.0,8.3
1001,surf,2018-09-13,0.0,5.0,8.3
1001,surf,2018-09-16,0.0,0.0,4.91
1001,surf,2018-09-17,0.0,1.0,18.18
1001,surf,2018-09-17,969.54,1.0,18.18
1001,surf,2018-09-17,71.78,1.0,18.18
1001,surf,2018-09-17,0.0,1.0,18.18
1001,surf,2018-09-18,299.66,3.0,7.83
1001,surf,2018-09-18,337.11,3.0,7.83
1001,surf,2018-09-19,1174.73,4.0,0.0
1001,surf,2018-09-20,260.15,2.0,0.0
