user_id,plan,session_date,mb_used,total_minutes,total_messages_used
1000,ultimate,2018-12-26,270.99,16.0,1.0
1000,ultimate,2018-12-27,880.22,16.0,3.0
1000,ultimate,2018-12-28,660.4,16.0,1.0
1000,ultimate,2018-12-29,89.86,16.0,1.0
1000,ultimate,2018-12-31,0.0,16.0,3.0
1001,surf,2018-08-15,210.82,261.0,4.0
1001,surf,2018-08-16,82.78,261.0,2.0
1001,surf,2018-08-16,534.19,261.0,2.0
1001,surf,2018-08-17,173.39,261.0,2.0
1001,surf,2018-08-17,374.29,261.0,2.0
1001,surf,2018-08-18,479.78,261.0,0.0
1001,surf,2018-08-18,249.51,261.0,0.0
1001,surf,2018-08-19,131.69,261.0,1.0
1001,surf,2018-08-20,173.63,261.0,2.0
1001,surf,2018-08-21,0.0,261.0,1.0
1001,surf,2018-08-22,215.67,261.0,2.0
1001,surf,2018-08-23,649.55,261.0,2.0
1001,surf,2018-08-24,284.68,261.0,1.0
1001,surf,2018-08-24,0.0,261.0,1.0
1001,surf,2018-08-25,468.13,261.0,0.0
1001,surf,2018-08-25,533.2,261.0,0.0
1001,surf,2018-08-27,106.97,261.0,0.0
1001,surf,2018-08-28,200.58,261.0,0.0
1001,surf,2018-08-29,499.76,261.0,4.0
1001,surf,2018-08-29,0.0,261.0,4.0
1001,surf,2018-08-29,47.01,261.0,4.0
1001,surf,2018-08-30,0.0,261.0,2.0
1001,surf,2018-08-31,801.08,261.0,4.0
1001,surf,2018-08-31,146.52,261.0,4.0
1001,surf,2018-08-31,555.92,261.0,4.0
1001,surf,2018-09-01,298.57,261.0,4.0
1001,surf,2018-09-01,388.14,261.0,4.0
1001,surf,2018-09-02,0.0,261.0,3.0
1001,surf,2018-09-04,42.34,261.0,2.0
1001,surf,2018-09-04,0.0,261.0,2.0
1001,surf,2018-09-05,727.29,261.0,0.0
1001,surf,2018-09-05,622.03,261.0,0.0
1001,surf,2018-09-06,310.16,261.0,3.0
1001,surf,2018-09-06,240.13,261.0,3.0
1001,surf,2018-09-06,0.0,261.0,3.0
1001,surf,2018-09-07,213.61,261.0,0.0
1001,surf,2018-09-07,492.98,261.0,0.0
1001,surf,2018-09-07,0.0,261.0,0.0
1001,surf,2018-09-08,284.97,261.0,0.0
1001,surf,2018-09-08,90.71,261.0,0.0
1001,surf,2018-09-08,45.92,261.0,0.0
1001,surf,2018-09-08,0.0,261.0,0.0
1001,surf,2018-09-09,165.69,261.0,1.0
1001,surf,2018-09-09,943.96,261.0,1.0
1001,surf,2018-09-09,0.0,261.0,1.0
1001,surf,2018-09-11,171.14,261.0,1.0
1001,surf,2018-09-11,10.28,261.0,1.0
1001,surf,2018-09-12,80.0,261.0,0.0
1001,surf,2018-09-13,0.0,261.0,5.0
1001,surf,2018-09-13,0.0,261.0,5.0
1001,surf,2018-09-16,0.0,261.0,0.0
1001,surf,2018-09-17,0.0,261.0,1.0
1001,surf,2018-09-17,969.54,261.0,1.0
1001,surf,2018-09-17,71.78,261.0,1.0
1001,surf,2018-09-17,0.0,261.0,1.0
1001,surf,2018-09-18,299.66,261.0,3.0
1001,surf,2018-09-18,337.11,261.0,3.0
1001,surf,2018-09-19,1174.73,261.0,4.0
1001,surf,2018-09-20,260.15,261.0,2.0
1001,surf,2018-09-21,281.98,261.0,2.0
1001,surf,2018-09-22,172.1,261.0,1.0
1001,surf,2018-09-23,693.58,261.0,1.0
1001,surf,2018-09-23,553.63,261.0,1.0
1001,surf,2018-09-24,73.9,261.0,2.0
1001,surf,2018-09-24,341.62,261.0,2.0
1001,surf,2018-09-24,494.72,261.0,2.0
1001,surf,2018-09-25,94.95,261.0,1.0
1001,surf,2018-09-27,236.4,261.0,1.0
1001,surf,2018-09-27,44.91,261.0,1.0
1001,surf,2018-09-27,831.08,261.0,1.0
1001,surf,2018-09-27,379.49,261.0,1.0
1001,surf,2018-09-28,0.0,261.0,1.0
1001,surf,2018-09-28,306.56,261.0,1.0
1001,surf,2018-09-28,183.74,261.0,1.0
1001,surf,2018-09-29,29.58,261.0,1.0
1001,surf,2018-09-30,179.68,261.0,0.0
1001,surf,2018-09-30,0.0,261.0,0.0
1001,surf,2018-09-30,176.01,261.0,0.0
1001,surf,2018-10-01,643.67,261.0,1.0
1001,surf,2018-10-02,0.0,261.0,2.0
1001,surf,2018-10-02,364.61,261.0,2.0
1001,surf,2018-10-02,502.14,261.0,2.0
1001,surf,2018-10-02,0.0,261.0,2.0
1001,surf,2018-10-03,172.24,261.0,0.0
1001,surf,2018-10-03,479.82,261.0,0.0
1001,surf,2018-10-04,501.87,261.0,0.0
1001,surf,2018-10-04,567.54,261.0,0.0
1001,surf,2018-10-04,701.01,261.0,0.0
1001,surf,2018-10-05,500.02,261.0,0.0
1001,surf,2018-10-05,62.08,261.0,0.0
1001,surf,2018-10-06,57.66,261.0,1.0
1001,surf,2018-10-08,322.28,261.0,1.0
