user_id,total_messages_used,total_minutes,total_mb_used,Anomaly
1001,50715.0,63945.0,80437.93999999999,-1
1002,61627.0,77957.0,120731.27000000002,-1
1003,64227.0,85705.0,147775.40999999997,-1
1004,145647.0,255905.0,304128.2199999999,-1
1005,146307.0,259445.0,321268.39,-1
1007,215922.0,363185.0,465121.12999999966,-1
1014,217382.0,990286.0,824481.0799999997,-1
1016,230864.0,1016902.0,901335.4499999993,-1
1046,480609.0,1959161.0,1834346.5899999992,-1
1052,502761.0,2083443.0,1993333.99,-1
1053,525336.0,2172539.0,2090466.2400000007,-1
1054,654978.0,2336963.0,2262114.890000003,-1
1055,860482.0,2426195.0,2375700.570000004,-1
1064,1041765.0,2789271.0,2716339.2500000047,-1
1065,1062565.0,2845015.0,2780564.3500000043,-1
1066,1259797.0,3195454.0,2975044.5500000096,-1
1070,1278894.0,3321037.0,3164818.960000001,-1
1072,1310008.0,3641999.0,3441974.509999997,-1
1323,8076250.0,19804577.0,17599941.869999852,-1
1361,10147416.0,23051125.0,20120075.879999824,-1
1404,11410727.0,25770403.0,22433905.139999826,-1
1439,12271393.0,27432044.0,23984323.1899998,-1
1489,12857698.0,28615963.0,25388881.14999967,-1
1491,12939089.0,28707901.0,25451931.81999967,-1
1492,12951509.0,28726761.0,25492755.77999969,-1
1494,13000925.0,28846041.0,25584144.96999968,-1
1496,13015550.0,28963286.0,25747304.569999684,-1
